model,type,arm,metric,n,mean,median,q25,q75
llama3.2:3b,two-verb,backwards,chrfpp,21,0.4097147278356338,0.3949071006750033,0.2537040005125874,0.5552545574977663
llama3.2:3b,two-verb,backwards,comet,21,0.678331298487527,0.6964817643165588,0.5602971911430359,0.8519999384880066
llama3.2:3b,two-verb,comparator,bleu,21,0.08945109764695831,0.06567274736060395,0.03673526562988939,0.11521590992286539
llama3.2:3b,two-verb,comparator,chrf,21,0.17469114546407555,0.1454303164931612,0.0938890065664054,0.222199964575971
llama3.2:3b,two-verb,comparator,chrfpp,21,0.18462667786663683,0.17929186784518616,0.11546282941911,0.22551440942775602
llama3.2:3b,two-verb,comparator,comet,21,0.4187876631816228,0.37607377767562866,0.3356662094593048,0.4652230441570282
qwen2.5:3b,complex,backwards,bleu,25,0.19410566089909975,0.10623727437398779,0.092875289995668,0.2182269148961668
qwen2.5:3b,complex,backwards,chrf,25,0.4237435788922813,0.42317960921039277,0.30359189633174255,0.4972556428697343
qwen2.5:3b,complex,backwards,chrfpp,25,0.40898480448831626,0.38713100359538516,0.2934839564002674,0.48939138937739485
qwen2.5:3b,complex,backwards,comet,25,0.6853299975395203,0.7303726077079773,0.6047413945198059,0.7696756720542908
qwen2.5:3b,complex,comparator,bleu,25,0.04832827081794762,0.04480836160121357,0.033864985683445356,0.04990049701936832
qwen2.5:3b,complex,comparator,chrf,25,0.1207965509410169,0.0882711191358705,0.057948717948717955,0.14309481644611982
qwen2.5:3b,complex,comparator,chrfpp,25,0.11983552101726205,0.08580891112547921,0.06318102140396917,0.15463742980705955
qwen2.5:3b,complex,comparator,comet,25,0.3333822202682495,0.31398358941078186,0.28159257769584656,0.3373865783214569
qwen2.5:3b,nominalization,backwards,bleu,25,0.5116599580114625,0.47987820666906617,0.20873176328735712,0.6731821382417488
qwen2.5:3b,nominalization,backwards,chrf,25,0.7250195409747271,0.7790314792084283,0.4656042776488964,0.8967900110926823
qwen2.5:3b,nominalization,backwards,chrfpp,25,0.7114939267432454,0.7607625289963089,0.46864199772859605,0.8774721830081228
qwen2.5:3b,nominalization,backwards,comet,25,0.8388790082931519,0.8626378178596497,0.8073669672012329,0.9465342164039612
qwen2.5:3b,nominalization,comparator,bleu,25,0.17888389887899322,0.21401603033752978,0.04456882760699063,0.2891784933232572
qwen2.5:3b,nominalization,comparator,chrf,25,0.3582056407137055,0.4087455380854548,0.12053682333847576,0.526819947500957
qwen2.5:3b,nominalization,comparator,chrfpp,25,0.37008762637719406,0.4197759336874594,0.141730079819124,0.5376243239687459
qwen2.5:3b,nominalization,comparator,comet,25,0.45192745089530945,0.43451765179634094,0.30653995275497437,0.4819864332675934
qwen2.5:3b,subject-verb,backwards,bleu,20,0.5660261950773127,0.5503212081491042,0.23559594554329344,1.0000000000000004
qwen2.5:3b,subject-verb,backwards,chrf,20,0.60359010958556,0.5911011633458201,0.28397095175592224,1.0
qwen2.5:3b,subject-verb,backwards,chrfpp,20,0.6115386967028585,0.6013222765274515,0.2910611739976521,1.0
qwen2.5:3b,subject-verb,backwards,comet,20,0.8289610773324967,0.893141508102417,0.7591388821601868,0.9827928245067596
qwen2.5:3b,subject-verb,comparator,bleu,20,0.31939831942424457,0.17965205598154213,0.10424740089279946,0.24840753130578644
qwen2.5:3b,subject-verb,comparator,chrf,20,0.3821913185842555,0.27792045411515465,0.11504431287072417,0.5616298444973976
qwen2.5:3b,subject-verb,comparator,chrfpp,20,0.39843289782249186,0.2880533669136959,0.13661864727425463,0.5802814099138067
qwen2.5:3b,subject-verb,comparator,comet,20,0.6274115443229675,0.51831915974617,0.3987063094973564,0.8931021690368652
qwen2.5:3b,subject-verb-object,backwards,bleu,23,0.19192007892064292,0.193576934939088,0.18424672060135028,0.23643540225079385
qwen2.5:3b,subject-verb-object,backwards,chrf,23,0.3971664625477332,0.40918360034072115,0.3527170951715406,0.4469155198355048
qwen2.5:3b,subject-verb-object,backwards,chrfpp,23,0.39231298641834456,0.39800029993803043,0.36639833670308447,0.4341771059247219
qwen2.5:3b,subject-verb-object,backwards,comet,23,0.7344948338425678,0.7742311954498291,0.7339926362037659,0.8372127711772919
qwen2.5:3b,subject-verb-object,comparator,bleu,23,0.08144991066940485,0.04767707020457095,0.04767707020457095,0.07809849842300637
qwen2.5:3b,subject-verb-object,comparator,chrf,23,0.1605797318345675,0.11565596948946047,0.08290638174461706,0.17777477655309587
qwen2.5:3b,subject-verb-object,comparator,chrfpp,23,0.16440178283312012,0.10910962715048532,0.08304016137736896,0.18396308825276497
qwen2.5:3b,subject-verb-object,comparator,comet,23,0.4053363119778426,0.334023654460907,0.2965122163295746,0.44012534618377686
qwen2.5:3b,two-clause,backwards,bleu,22,0.19580111269147046,0.17965205598154213,0.07921865080484108,0.3457207846419412
qwen2.5:3b,two-clause,backwards,chrf,22,0.5666220132125099,0.5753815823868009,0.4518566273812413,0.7376482181256375
qwen2.5:3b,two-clause,backwards,chrfpp,22,0.540834976407605,0.528380726666724,0.4140615717276872,0.7185586911634405
qwen2.5:3b,two-clause,backwards,comet,22,0.7671425478024916,0.741722822189331,0.6327240765094757,0.9286723583936691
qwen2.5:3b,two-clause,comparator,bleu,22,0.04691075425241419,0.026368574693232505,0.024727078695481696,0.04624808991916959
qwen2.5:3b,two-clause,comparator,chrf,22,0.1541469336024976,0.0922687668478126,0.07775921949249891,0.20271576700304944
